Feature-Feature Interaction	HepG2 - Interaction SHAP	K562 - Interaction SHAP	HepG2 - F1 (1st Individual Feature in Interaction) SHAP	K562 - F1 (1st Individual Feature in Interaction) SHAP	HepG2 - F2 (2nd Individual Feature in Interaction) SHAP	K562 - F2 (2nd Individual Feature in Interaction) SHAP	HepG2 - Both Bound: # Points	K562 - Both Bound: # Points	HepG2 - Both Bound: Average	K562 - Both Bound: Average	HepG2 - Both Bound: Median	K562 - Both Bound: Median	HepG2 - F1 Bound Only: # Points	K562 - F1 Bound Only: # Points	HepG2 - F1 Bound Only: Average	K562 - F1 Bound Only: Average	HepG2 - F1 Bound Only: Median	K562 - F1 Bound Only: Median	HepG2 - F2 Bound Only: # Points	K562 - F2 Bound Only: # Points	HepG2 - F2 Bound Only: Average	K562 - F2 Bound Only: Average	HepG2 - F2 Bound Only: Median	K562 - F2 Bound Only: Median	HepG2 - Both Bound vs F1 Bound Only: Abs(Diff Average)	HepG2 - Both Bound vs F1 Bound Only: Abs(Diff Median)	K562 - Both Bound vs F1 Bound Only: Abs(Diff Average)	K562 - Both Bound vs F1 Bound Only: Abs(Diff Median)	HepG2 - Both Bound vs F2 Bound Only: Abs(Diff Average)	HepG2 - Both Bound vs F2 Bound Only: Abs(Diff Median)	K562 - Both Bound vs F2 Bound Only: Abs(Diff Average)	K562 - Both Bound vs F2 Bound Only: Abs(Diff Median)	Statistical Testing Directionality	HepG2 - Both Bound vs F1 Bound Only: Mann-Whitney U	K562 - Both Bound vs F1 Bound Only: Mann-Whitney U	HepG2 - Both Bound vs F2 Bound Only: Mann-Whitney U	K562 - Both Bound vs F2 Bound Only: Mann-Whitney U	HepG2 - Both Bound vs F1 Bound Only: Welch's t-test	K562 - Both Bound vs F1 Bound Only: Welch's t-test	HepG2 - Both Bound vs F2 Bound Only: Welch's t-test	K562 - Both Bound vs F2 Bound Only: Welch's t-test	All MWU Significant	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	Rec-Y2H/Street et al. IP-MS (Union)
RPS3_3-DDX3X_4-interaction-shap	-0.09482166916131973	-0.07708518207073212	0.7269369959831238	1.4697649478912354	0.321524053812027	0.7766348123550415	9047	3405	0.9794141704432409	0.9849908957415565	0.999	0.998	109272	74031	0.9856376198843252	0.9902464913347111	1.0	0.999	29597	68587	0.9414744399770248	0.9339940367708166	0.998	0.993	0.006223449441084328	0.0010000000000000009	0.005255595593154583	0.0010000000000000009	0.037939730466216015	0.0010000000000000009	0.05099685897073991	0.0050000000000000044	less	5.285967577159015e-46	9.154971724083452e-36	1.0	1.0	2.2979100243945325e-16	6.847142548303758e-21	1.0	1.0	false	False	False	False	False
PRPF8_4-GRWD1_5-interaction-shap	0.038114432245492935	0.004381649661809206	1.359736680984497	1.0885541439056396	-0.35363882780075073	-0.0436827652156353	80214	23817	0.9600630563243323	0.9658865936096066	0.999	0.999	683602	624913	0.9662851293588957	0.9555719292125462	1.0	0.999	333901	159084	0.7517934717176648	0.8231935015463528	0.987	0.995	0.006222073034563347	0.0010000000000000009	0.010314664397060413	0.0	0.20826958460666756	0.01200000000000001	0.14269309206325376	0.0040000000000000036	greater	0.9999999999562269	6.563874099707774e-39	0.0	0.0	1.0	1.57034894588643e-29	0.0	0.0	false	None	False	False	False
LIN28B_4-SND1_4-interaction-shap	-0.20435594022274017	-0.1523941159248352	1.6433429718017578	1.5384678840637207	1.6919124126434326	1.5452886819839478	11453	11372	0.9917859949358246	0.9917760288427716	1.0	0.999	38860	148391	0.9856072053525476	0.9757553692609392	1.0	1.0	135616	123531	0.9844768095210005	0.9816991038686644	0.999	0.999	0.006178789583277	0.0	0.016020659581832408	0.0010000000000000009	0.007309185414824171	0.0010000000000000009	0.010076924974107171	0.0	less	1.0	0.9999999645549095	1.0	1.0	1.0	1.0	1.0	1.0	false	None	False	False	False
RPS3_3-GRWD1_4-interaction-shap	-0.22103865444660187	-0.012980790808796883	0.7269369959831238	1.4697649478912354	1.2845640182495117	0.8225722312927246	5221	2116	0.9909398582647003	0.9988062381852553	0.999	1.0	113098	75320	0.9848950202479265	0.989768428040361	1.0	0.999	366093	117880	0.9724734124935468	0.9752690363081098	1.0	1.0	0.006044838016773801	0.0010000000000000009	0.009037810144894243	0.0010000000000000009	0.018466445771153528	0.0010000000000000009	0.023537201877145475	0.0	less	0.7779306938648005	1.0	1.0	1.0	1.0	1.0	1.0	1.0	false	None	False	False	False
DDX3X_1-GRWD1_1-interaction-shap	0.000041410115954931825	0.0012143851490691304	-0.11173701286315918	-0.42348384857177734	-0.1194198951125145	-0.028099393472075462	11331	4493	0.7426041832141912	0.8435804584909858	0.992	0.997	216852	379822	0.7485847213767916	0.7489880365013083	0.988	0.986	396640	122613	0.8175086350342881	0.8458599903762244	0.992	0.996	0.005980538162600357	0.0040000000000000036	0.09459242198967754	0.01100000000000001	0.07490445182009686	0.0	0.0022795318852385504	0.0010000000000000009	greater	9.545000911724603e-8	1.368447078879979e-60	1.0	0.9964627100172123	0.9391829323274011	6.262049665298839e-74	1.0	0.6705239129325261	false	None	False	False	False
EFTUD2_4-AQR_5-interaction-shap	-0.007452849298715591	-0.023128924891352654	0.35644668340682983	0.7475715279579163	-0.11271006613969803	-0.43198004364967346	47002	38786	0.9337392025871238	0.9424704790388285	0.999	0.999	104572	197310	0.9395959434647898	0.9638690182960822	0.998	0.999	343405	356372	0.7952397111282599	0.8087363401165075	0.992	0.99	0.005856740877665967	0.0010000000000000009	0.021398539257253657	0.0	0.13849949145886398	0.007000000000000006	0.133734138922321	0.009000000000000008	less	0.9984795351765972	0.006830264503356051	1.0	1.0	9.828382234943363e-9	1.1519085640889008e-111	1.0	1.0	false	None	None	None	None
SF3B4_3-BUD13_6-interaction-shap	0.021171700209379196	0.005008903332054615	1.04224693775177	1.2349843978881836	-0.06603479385375977	-0.0032581293489784002	10402	24287	0.9464410690251875	0.9725441182525632	0.997	1.0	239204	532943	0.9521620583267837	0.9618587822712744	0.999	1.0	58850	153444	0.8194721155480034	0.8184683467584266	0.993	0.99	0.005720989301596147	0.0020000000000000018	0.010685335981288735	0.0	0.12696895347718418	0.0040000000000000036	0.15407577149413654	0.010000000000000009	greater	1.0	0.0001711174550654599	2.216695951344507e-84	0.0	0.9998900175822384	1.5057259904785975e-62	0.0	0.0	false	False	Different-Position	False	Different-Position
AQR_4-HNRNPM_4-interaction-shap	0.00018672793521545827	0.02071208693087101	0.7352287769317627	1.1961925029754639	-0.8431994915008545	-0.5517842769622803	355	3933	0.9583126760563381	0.9004159674548691	0.986	0.994	248378	961087	0.9640299382392967	0.9616642457966869	0.999	0.999	5382	4385	0.5038376068376069	0.48349988597491445	0.5575000000000001	0.269	0.005717262182958649	0.013000000000000012	0.061248278341817786	0.0050000000000000044	0.45447506921873115	0.4284999999999999	0.4169160814799546	0.725	greater	0.9999999999999131	1.0	3.2919768358737275e-77	0.0	0.9710101383623614	1.0	0.0	0.0	false	None	None	None	None
RPS3_2-RPS3_5-interaction-shap	-0.08346202224493027	-0.00016667385352775455	-0.19573776423931122	-0.029996750876307487	-0.31225043535232544	-0.04682749882340431	48754	28625	0.8523298190917667	0.8682199126637554	0.999	0.999	87597	65023	0.8579499183762002	0.8516576903557203	0.999	0.998	79776	75664	0.852178800641797	0.8395911001268768	0.998	0.998	0.005620099284433411	0.0	0.016562222308035168	0.0010000000000000009	0.00015101844996978642	0.0010000000000000009	0.028628812536878656	0.0010000000000000009	less	0.8192722530144689	1.0	0.9999999999989688	1.0	0.0014275234124255392	0.9999999999988489	0.5312060849799648	1.0	false				
FXR2_3-RBM22_4-interaction-shap	-0.08340755105018616	-0.00008377322956221178	0.6237109899520874	0.24987705051898956	0.6834766268730164	0.4519733190536499	1433	1379	0.9796894626657362	0.9959354604786077	0.998	1.0	36092	52853	0.9852476726144298	0.976375475375097	1.0	1.0	73886	104590	0.9723773380613377	0.9602176116263506	1.0	0.999	0.005558209948693604	0.0020000000000000018	0.019559985103510757	0.0	0.007312124604398451	0.0020000000000000018	0.03571784885225715	0.0010000000000000009	less	1.0752869084566823e-50	1.0	2.134101481051273e-18	1.0	2.0898562103228423e-10	1.0	0.9999999999999983	1.0	false	False	False	False	False
DDX3X_1-AQR_5-interaction-shap	0.0002494034997653216	0.017149686813354492	-0.11173701286315918	-0.42348384857177734	-0.11271006613969803	-0.43198004364967346	33001	26999	0.7530160298172782	0.7713502722323048	0.992	0.988	195182	357316	0.7474882929778361	0.748487767130495	0.987	0.986	357406	368159	0.8173523136153283	0.8255671082331274	0.993	0.992	0.005527736839442077	0.0050000000000000044	0.02286250510180976	0.0020000000000000018	0.06433628379805012	0.0010000000000000009	0.05421683600082261	0.0040000000000000036	greater	0.000013298787791181922	1.9488250788113663e-16	1.0	1.0	0.009667745289427055	5.7464977290155875e-22	1.0	1.0	false	None	False	False	False
RPS3_3-EFTUD2_4-interaction-shap	-0.0030570952221751213	-0.039608925580978394	0.7269369959831238	1.4697649478912354	0.35644668340682983	0.7475715279579163	13428	6587	0.9803393655049151	0.9974807955063003	1.0	1.0	104891	70849	0.9857791135559771	0.9893213171674972	1.0	0.999	138146	229509	0.9336429574508128	0.9592880889202603	0.998	0.999	0.0054397480510620655	0.0	0.00815947833880315	0.0010000000000000009	0.046696408054102245	0.0020000000000000018	0.038192706586040015	0.0010000000000000009	less	0.05994668063806724	1.0	1.0	1.0	9.29472296573408e-18	1.0	1.0	1.0	false	False	False	False	False
