Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
ADAT1_3_binding,ADAT1,3,K562,chr16_+_88712621_88712905_88713311_88713447_88713646_88713778_ENCSR143COQ_CTRL-1,0.003,0.0,0.0,0.0,1.0
ADAT1_4_binding,ADAT1,4,K562,chr19_+_7639018_7639100_7639730_7639807_7640730_7640809_ENCSR031RRO_CTRL-1,0.002,0.0,0.0,0.0,1.0
ADAT1_4_binding,ADAT1,4,K562,chr5_+_139278326_139278408_139278564_139278740_139279050_139279129_ENCSR031RRO_CTRL-1,0.011,0.0,0.0,0.0,0.293512330264408
ADAT1_5_binding,ADAT1,5,K562,chr4_+_1802913_1803064_1804329_1804520_1804823_1804969_ENCSR143COQ_CTRL-1,0.018,0.07981469,-0.000023376304,0.07983807,1.0
ADAT1_5_binding,ADAT1,5,K562,chr22_+_40964046_40964117_40967798_40967884_40972475_40973309_ENCSR031RRO_CTRL-1,-0.012,0.08283992,-0.00022337951,0.0830633,0.7801408104427898
ADAT1_5_binding,ADAT1,5,K562,chr22_+_40953554_40953633_40967798_40967884_40972475_40973309_ENCSR031RRO_CTRL-1,-0.006,0.082065396,-0.0002482773,0.08231367,1.0
ADAT1_5_binding,ADAT1,5,K562,chr22_+_40953554_40953633_40964046_40964117_40972475_40973309_ENCSR031RRO_CTRL-1,-0.006,0.082065396,-0.0002482773,0.08231367,1.0
ADAT1_5_binding,ADAT1,5,K562,chr4_+_1801834_1802025_1803691_1803836_1804823_1804969_ENCSR143COQ_CTRL-1,0.055,0.080154374,-0.000023398885,0.08017778,1.0
ADAT1_5_binding,ADAT1,5,K562,chr4_+_1803691_1803836_1804329_1804520_1804823_1804969_ENCSR129RWD_CTRL-1,0.006,0.07981673,-0.00002337688,0.07984011,1.0
ADAT1_5_binding,ADAT1,5,K562,chr4_+_1801834_1802025_1804329_1804520_1804823_1804969_ENCSR031RRO_CTRL-1,0.036,0.07994036,-0.000023339799,0.0799637,1.0
ADAT1_6_binding,ADAT1,6,K562,chr8_-_129480690_129480642_129370377_129370306_129352980_129351690_ENCSR424QCW_CTRL-1,0.019,0.66626114,-0.0006010412,0.6668622,1.0
ADAT1_6_binding,ADAT1,6,K562,chr1_-_161118111_161117951_161102375_161102286_161100859_161100555_ENCSR031RRO_CTRL-1,0.012,0.601331,-0.00048530116,0.6018163,1.0
ADAT1_6_binding,ADAT1,6,K562,chr4_-_82426129_82426036_82425667_82425562_82424883_82424628_ENCSR031RRO_CTRL-1,0.144,0.5356883,-0.0004660363,0.5361543,0.00009140061667210546
ADAT1_6_binding,ADAT1,6,K562,chr12_+_49269464_49269687_49269827_49269976_49272252_49273328_ENCSR031RRO_CTRL-1,0.001,0.5438908,-0.0004455286,0.5443363,1.0
ADAT1_6_binding,ADAT1,6,K562,chr14_-_73722847_73722697_73721509_73721296_73719501_73715121_ENCSR092WKG_CTRL-1,-0.014,0.5893388,-0.00047413912,0.58981293,1.0
ADAT1_6_binding,ADAT1,6,K562,chr21_-_44814104_44813975_44809118_44808996_44807040_44805616_ENCSR031RRO_CTRL-1,0.002,0.6444936,-0.0005870805,0.6450807,1.0
ADAT1_6_binding,ADAT1,6,K562,chr5_+_134380718_134380808_134388351_134388413_134390224_134390573_ENCSR031RRO_CTRL-1,0.001,0.57808185,-0.0004678947,0.57854974,1.0
ADAT1_6_binding,ADAT1,6,K562,chr1_-_77955282_77955254_77949300_77949154_77948774_77948404_ENCSR031RRO_CTRL-1,0.002,0.5335384,-0.0004326209,0.533971,1.0
ADAT1_6_binding,ADAT1,6,K562,chr2_-_73766903_73766827_73766594_73766417_73762859_73762183_ENCSR031RRO_CTRL-1,0.002,0.61677307,-0.0004974892,0.6172705,1.0
ADAT1_6_binding,ADAT1,6,K562,chr22_-_22507870_22507809_22494180_22494062_22489466_22484420_ENCSR031RRO_CTRL-1,0.017,0.58680505,-0.00047500493,0.58728004,1.0
ADAT1_6_binding,ADAT1,6,K562,chr16_-_18798044_18797924_18794683_18794598_18793370_18791666_ENCSR031RRO_CTRL-1,0.001,0.5368902,-0.00043732658,0.5373275,1.0
ADAT1_6_binding,ADAT1,6,K562,chr8_-_129575016_129574881_129370377_129370306_129352980_129351690_ENCSR031RRO_CTRL-1,-0.044,0.66626114,-0.0006010412,0.6668622,0.2545029996933511
ADAT1_6_binding,ADAT1,6,K562,chr11_+_118405656_118405709_118406936_118407097_118408999_118409199_ENCSR031RRO_CTRL-1,-0.0,0.6642264,-0.0005405863,0.664767,1.0
ADAT1_6_binding,ADAT1,6,K562,chr2_-_65332051_65331986_65316883_65316733_65314169_65310850_ENCSR031RRO_CTRL-1,-0.026,0.5745884,-0.0004629443,0.57505137,0.976230791682292
ADAT1_6_binding,ADAT1,6,K562,chr21_-_44814104_44813975_44809118_44809046_44807040_44805616_ENCSR031RRO_CTRL-1,0.0,0.65255576,-0.00059326395,0.653149,1.0
ADAT1_6_binding,ADAT1,6,K562,chr8_-_116850767_116850617_116849029_116848945_116847691_116845934_ENCSR031RRO_CTRL-1,0.002,0.56747675,-0.00045797633,0.56793475,1.0
ADAT1_6_binding,ADAT1,6,K562,chr22_-_22508733_22508658_22507870_22507809_22489466_22484420_ENCSR031RRO_CTRL-1,-0.03,0.5653248,-0.0004577449,0.56578255,1.0
ADAT1_6_binding,ADAT1,6,K562,chr1_-_161102375_161102286_161102171_161102047_161100859_161100555_ENCSR031RRO_CTRL-1,0.0,0.5974103,-0.0004819498,0.5978923,1.0
ADAT1_6_binding,ADAT1,6,K562,chr15_-_73563245_73563235_73561970_73561895_73561048_73560013_ENCSR031RRO_CTRL-1,-0.01,0.5836767,-0.0004710652,0.58414775,1.0
ADAT1_6_binding,ADAT1,6,K562,chr19_+_2271384_2271954_2272734_2272820_2272971_2273221_ENCSR031RRO_CTRL-1,-0.0,0.6537076,-0.0005287676,0.6542364,1.0
ADAT1_6_binding,ADAT1,6,K562,chr1_-_150267478_150267355_150267202_150267074_150266656_150265405_ENCSR031RRO_CTRL-1,0.005,0.5584203,-0.00045420096,0.5588745,1.0
ADAT1_6_binding,ADAT1,6,K562,chr1_-_161118111_161117951_161102171_161102047_161100859_161100555_ENCSR031RRO_CTRL-1,0.015,0.60017836,-0.00048450188,0.6006629,0.9816162572962515
ADAT1_6_binding,ADAT1,6,K562,chr19_+_7638725_7638775_7639018_7639100_7639730_7639807_ENCSR031RRO_CTRL-1,-0.002,0.57188594,-0.00046575582,0.5723517,1.0
ADAT1_6_binding,ADAT1,6,K562,chr19_-_16520265_16520148_16519715_16519620_16519352_16517888_ENCSR129RWD_CTRL-1,0.006,0.589893,-0.0004767709,0.59036976,1.0
ADAT1_6_binding,ADAT1,6,K562,chr8_-_129399684_129399513_129370377_129370306_129352980_129351690_ENCSR031RRO_CTRL-1,0.022,0.66747236,-0.0006021553,0.6680745,1.0
ADAT1_6_binding,ADAT1,6,K562,chr15_+_43770249_43770329_43770522_43770580_43771104_43771545_ENCSR031RRO_CTRL-1,0.0,0.57472754,-0.00046567037,0.5751932,1.0
